FECHA,HORA,,TEMP,HUM,PNM,DD,FF,estacion met.,,,,NOMBRE
19/03/2023,0,,8.2,86,1515.0,190,9,BARILOCHE_AERO,,,,
19/03/2023,1,,8.1,84,1516.0,200,9,BARILOCHE_AERO,,,,
19/03/2023,2,,8.3,82,1515.0,190,9,BARILOCHE_AERO,,,,
19/03/2023,3,,8.3,80,1514.0,200,7,BARILOCHE_AERO,,,,
19/03/2023,4,,7.8,79,1512.0,200,9,BARILOCHE_AERO,,,,
19/03/2023,5,,7.2,83,1509.0,200,11,BARILOCHE_AERO,,,,
19/03/2023,6,,6.6,78,1511.0,200,9,BARILOCHE_AERO,,,,
19/03/2023,7,,6.2,81,1510.0,190,9,BARILOCHE_AERO,,,,
19/03/2023,8,,6.5,77,1507.0,180,13,BARILOCHE_AERO,,,,
19/03/2023,8,,6.5,77,1507.0,180,13,BARILOCHE_AERO,,,,
19/03/2023,9,,6.9,70,1507.0,200,9,BARILOCHE_AERO,,,,
19/03/2023,10,,10.1,71,1509.0,190,6,BARILOCHE_AERO,,,,
19/03/2023,11,,12.3,63,1512.0,990,6,BARILOCHE_AERO,,,,
19/03/2023,12,,13.7,57,1511.0,290,11,BARILOCHE_AERO,,,,
19/03/2023,13,,14.9,41,1507.0,300,13,BARILOCHE_AERO,,,,
19/03/2023,14,,17.1,38,1501.0,320,19,BARILOCHE_AERO,,,,
19/03/2023,15,,18.9,27,1499.0,320,20,BARILOCHE_AERO,,,,
19/03/2023,16,,20.1,20,1494.0,300,24,BARILOCHE_AERO,,,,
19/03/2023,17,,20.3,18,1493.0,300,33,BARILOCHE_AERO,,,,
19/03/2023,18,,19.4,30,1489.0,280,30,BARILOCHE_AERO,,,,
19/03/2023,19,,18.8,25,1488.0,300,28,BARILOCHE_AERO,,,,
19/03/2023,20,,15.6,47,1491.0,300,17,BARILOCHE_AERO,,,,
19/03/2023,21,,14.1,46,1499.0,140,6,BARILOCHE_AERO,,,,
19/03/2023,22,,10.5,46,1506.0,200,9,BARILOCHE_AERO,,,,
19/03/2023,23,,8.2,62,1513.0,110,13,BARILOCHE_AERO,,,,
19/03/2023,0,,27.6,53,1007.2,50,26,CATAMARCA_AERO,,,,
19/03/2023,0,,27.6,53,1007.2,50,26,CATAMARCA_AERO,,,,
19/03/2023,1,,27.2,50,1006.9,20,28,CATAMARCA_AERO,,,,
19/03/2023,2,,26.4,54,1006.6,20,26,CATAMARCA_AERO,,,,
19/03/2023,3,,,52,1006.1,20,31,CATAMARCA_AERO,,,,
19/03/2023,4,,,52,1005.8,20,30,CATAMARCA_AERO,,,,
19/03/2023,5,,26.6,58,1005.9,20,17,CATAMARCA_AERO,,,,
19/03/2023,6,,24.8,60,1006.6,340,9,CATAMARCA_AERO,,,,
19/03/2023,7,,24.2,63,1007.2,360,11,CATAMARCA_AERO,,,,
19/03/2023,8,,23.2,62,1008.5,20,6,CATAMARCA_AERO,,,,
19/03/2023,9,,25.8,57,1009.2,0,0,CATAMARCA_AERO,,,,
19/03/2023,10,,28.8,43,1007.6,,,CATAMARCA_AERO,,,,
19/03/2023,11,,30.2,43,1009.6,,9,CATAMARCA_AERO,,,,
19/03/2023,12,,32.8,40,1008.4,,4,CATAMARCA_AERO,,,,
19/03/2023,13,,35.6,32,1006.9,,9,CATAMARCA_AERO,,,,
19/03/2023,14,,37.0,30,1005.7,20,11,CATAMARCA_AERO,,,,
19/03/2023,15,,37.0,29,1004.8,20,17,CATAMARCA_AERO,,,,
19/03/2023,16,,38.8,24,1003.4,20,11,CATAMARCA_AERO,,,,
19/03/2023,17,,38.6,24,1002.9,20,17,CATAMARCA_AERO,,,,
19/03/2023,18,,36.8,27,1003.2,20,24,CATAMARCA_AERO,,,,
19/03/2023,19,,34.8,32,1004.0,20,26,CATAMARCA_AERO,,,,
19/03/2023,20,,32.8,39,1004.9,20,20,CATAMARCA_AERO,,,,
19/03/2023,21,,31.4,42,1005.2,20,22,CATAMARCA_AERO,,,,
19/03/2023,22,,30.1,42,1006.1,20,19,CATAMARCA_AERO,,,,
19/03/2023,23,,29.2,43,1006.7,20,15,CATAMARCA_AERO,,,,
